,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
212,Coby Bryant,CB,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,9.0,0.0,52.0,2.0,6.0,4.0,15.0,17.0,70.0,0.0,0.0,0.0
213,Larrell Murchison,DT,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,18.0,0.0,6.0,1.0,0.0,2.0,18.0,10.0,8.0,0.0,0.0,0.0
214,Payton Turner,DE,0.0,7.5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,15.0,0.0,11.0,3.0,6.0,5.0,19.0,17.0,16.0,0.0,0.0,0.0
215,Chris Rumph II,LB,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,17.0,0.0,7.0,1.0,0.0,2.0,17.0,17.0,15.0,0.0,0.0,0.0
216,Jacob Phillips,LB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,29.0,1.5,0.0,2.0,4.0,17.0,46.0,0.0,0.0,0.0
217,Ryder Anderson,DE,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,4.0,1.5,0.0,2.0,7.0,7.0,8.0,0.0,0.0,0.0
218,Cam Sample,DE,0.0,5.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,11.0,0.0,17.0,3.0,6.0,4.0,16.0,16.0,25.0,0.0,0.0,0.0
219,Zaven Collins,LB,30.0,9.0,2.1110000610351562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,2.0,18.0,0.0,63.0,12.0,19.0,11.0,29.0,17.0,100.0,0.0,0.0,0.0
220,Benjamin St-Juste,CB,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,12.0,0.0,34.0,0.0,0.0,2.0,12.0,17.0,42.0,0.0,0.0,0.0
221,Josh Paschal,DE,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,22.0,0.0,10.0,2.0,0.0,2.0,22.0,17.0,16.0,0.0,0.0,0.0
222,Talanoa Hufanga,S,15.25,6.0,2.4000000953674316,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,0.0,2.0,12.0,0.0,66.0,8.0,12.0,5.0,12.0,17.0,97.0,0.0,0.0,0.0
223,Nick Bolton,LB,7.5,9.5,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,2.0,19.0,0.0,108.0,12.0,12.0,9.0,22.0,17.0,180.0,0.0,0.0,0.0
